platform,post_id,hashtag
youtube,6SLec-mvL0w,#rajeevtechmaster
youtube,bFGayjPe7yA,#aitools
youtube,bFGayjPe7yA,#freeai
youtube,bFGayjPe7yA,#productivity2025
youtube,fvxyj34edJU,#aitools
youtube,fvxyj34edJU,#freeai
youtube,fvxyj34edJU,#productivity2025
youtube,A-I7BvCUGaI,#aitools
youtube,H7GC_qee6E4,#artificialintelligence
youtube,H7GC_qee6E4,#veo3
youtube,jyKBSOfn9QA,#contentcreation
youtube,jyKBSOfn9QA,#digitalmarketing
youtube,nsJjSOeCbhs,#shorts
youtube,nsJjSOeCbhs,#aitools2025
youtube,nsJjSOeCbhs,#bestaitools
youtube,nsJjSOeCbhs,#bestaitools2025
youtube,nsJjSOeCbhs,#freeaitools
youtube,VXgCekRR1vY,#ai
youtube,VXgCekRR1vY,#aiwebsites
youtube,I-r7RsPNUXM,#youtubeshorts
youtube,I-r7RsPNUXM,#youtube
youtube,I-r7RsPNUXM,#ytshorts
youtube,I-r7RsPNUXM,#ugc
youtube,I-r7RsPNUXM,#content
youtube,I-r7RsPNUXM,#relatable
youtube,XzvrX7el-R0,#content
youtube,XzvrX7el-R0,#marketing
youtube,2-8PLKI73SM,#socialmedia
youtube,2-8PLKI73SM,#posts
youtube,2-8PLKI73SM,#ai
youtube,JQjzhbyTBQE,#invideoaipartner
youtube,Fu86B_bs7SU,#invideo
youtube,Fu86B_bs7SU,#aitools
youtube,GiI7FNoPaHI,#aivideo
youtube,GiI7FNoPaHI,#texttovideo
youtube,GiI7FNoPaHI,#aitools
youtube,GiI7FNoPaHI,#artificialintelligence
youtube,GiI7FNoPaHI,#aiart
youtube,lOW7TzvTWHw,#ai
youtube,TdKLibSbbyc,#aitools
youtube,TdKLibSbbyc,#ai
youtube,TdKLibSbbyc,#adstrategy
youtube,RmcwvtMmP3Q,#39
youtube,IgJBteemJt4,#copywriting
youtube,IgJBteemJt4,#contentmarketing
youtube,d8TAkd9__Zs,#aitools
youtube,VqymRPG1sII,#realestatemarketing
youtube,VqymRPG1sII,#contentmarketing
youtube,91yaPW2pfGI,#ai
youtube,91yaPW2pfGI,#chatgpt
youtube,yRT6zW3Wi7E,#contentcreator
youtube,yRT6zW3Wi7E,#contentmarketing
youtube,bsb-qeGusw0,#ai
youtube,bsb-qeGusw0,#ecommerce
youtube,bsb-qeGusw0,#digitaldropshipping
youtube,bsb-qeGusw0,#digitalproducts
youtube,bsb-qeGusw0,#ebook
youtube,3OjC5AvQzYI,#aitools
youtube,3OjC5AvQzYI,#aiformarketing
youtube,JB7vXQ_gyAw,#shorts
youtube,JB7vXQ_gyAw,#aitools
